CUST #,DESCRIPTION,ADDR1,CITY,ST,ZIP CODE,ROUTE,Milk-CD Half Pints,Milk-5Gal,Milk Gals-Country Dairy,Milk Gals-Cedar Cr,Milk Hgls-Country Dairy,Milk Pints-Country Dairy,Milk Qts-Country Dairy,Mix-Country Dairy,WF Gallons,WF Hgls,TOTAL CASES
30819,Colby's Cafe & Brew LLC,3311 E Colby St Ste A,Whitehall,MI,49461-2902,661,0,0,8,0,0,0,0,0,0,0,8
30817,Coley Central Vending,1205 North Fancher Ave,Mt Pleasant,MI,48858-1818,481,0,0,0,0,0,24,0,0,0,0,24
30285,Cone Palace,55 W 300 S,Kokomo,IN,46902,890,0,0,0,0,0,0,0,68,0,0,68
190152,Conlee Oil - #8,12018 Liberty St.,Clio,MI,48420-1428,480,0,0,1,0,1,2,1,0,0,0,5
30252,Conlee Oil - Birch Run,9180 Birch Run Rd.,Birch Run,MI,48415-1428,480,0,0,2,0,2,4,4,0,0,0,12
30251,Conlee Oil - Clio,4514 W Viena R.,Clio,MI,48420-1428,480,0,0,3,0,4,5,6,0,0,0,18
30256,Conlee Oil - Downtown Cli,815 S. Mill St.,Clio,MI,48420-1428,480,0,0,2,0,1,1,1,0,0,0,5
30255,Conlee Oil - Montrose,110 State Rd.,Montrose,MI,48457-1428,480,0,0,1,0,0,1,0,0,0,0,2
30254,Conlee Oil - Otisville,213 North State Rd.,Otisville,MI,48463-1428,480,0,0,2,0,2,2,1,0,0,0,7
30395,Converse Big Dipper,104 S Jefferson St,Converse,IN,46919,890,0,0,0,0,0,0,0,3,0,0,3
32564,Coopersville Creamery,303 Main Street,Coopersville,MI,49404,119,0,0,0,0,0,0,0,5,0,0,5
31020,Coopersville Hgh Athl (KE,C/O ED Kaman,Coopersville,MI,49404-0009,119,0,0,5,0,0,0,0,0,0,0,5
31161,Country Corner Market,2020 N. Mission Rd,Mt Pleasant,MI,48858-1818,481,0,0,2,0,1,2,0,0,0,0,5
30181,Country Market,2236 Imlay City Rd,Lapeer,MI,48446-2902,1005,0,0,2,0,1,1,1,0,0,0,5
31055,County Fair Store,415 W Main St,Hale,MI,48739,484,0,0,4,0,1,0,0,0,0,0,5
30680,Creative Dining AO South,619 S Campus Dr,Lansing,MI,48917-1818,242,0,0,0,0,0,1,0,0,0,0,1
30677,Creative Dining Serv-Auto,6101 Ana Capri Blvd,Lansing,MI,48917-1818,242,0,0,0,0,0,2,0,0,0,0,2
30679,Creative Dining Serv-Jack,1 Corporate Way (JACKSON,Lansing,MI,48951-1818,242,0,0,0,0,0,4,0,0,0,0,4
31157,Crossroads Market,800 S. Chipman,Owosso,MI,48867-2206,483,0,0,0,0,1,2,2,0,0,0,5
31726,C-Store Portage,1800 W Milham Ave,Portage,MI,49024,101,0,0,4,0,1,1,1,0,0,0,7
31390,Currie's BP,620 Maple,Big Rapids,MI,49307-2902,764,0,0,0,0,1,1,0,0,0,0,2
40085,CV Kwik Mart LLC,3038 N Kings Highway,Luther,MI,49656-2902,766,0,0,2,0,1,1,1,0,0,0,5
42674,D Ave Fuel Plaza,5118 West D Ave,Kalamazoo,MI,49001-2902,113,0,0,1,0,1,4,4,0,0,0,10
40127,D&W 1591 Knapp Milk,2022 Apple Orchard Ave. NE,Grand Rapids,MI,49525-2206,106,,0,5,0,1,0,0,0,0,0,6
42009,Daily Deals,1755 E Sherman Blvd,Muskegon,MI,49444,660,0,0,0,0,1,0,0,0,0,0,1
42003,Daily Deals,740 Lamoreaux Dr,Comstock Park,MI,49321,103,0,0,0,0,2,0,0,0,0,0,2
42006,Daily Deals,300 S Greenville W Dr,Greenville,MI,48838,765,0,0,0,0,2,0,0,0,0,0,2
42007,Daily Deals,4965 Lake Michigan Dr,Allendale,MI,49401,119,0,0,0,0,4,0,0,0,0,0,4
40228,Dairy Dayz (KEY # 45 ),6473 Blue Star Hwy,Saugatuck,MI,49451-4308,117,0,0,0,0,0,0,0,10,0,0,10
40207,Dairy Hill,601 E. Ash,Mason,MI,48854-4308,242,0,0,0,0,0,0,0,10,0,0,10
41600,Dairy Ranch (KEY #38 ),1717 142nd Ave,Dorr,MI,49323-4308,101,0,0,0,0,2,0,0,25,0,0,27
41468,Dansville Gas and More,978 Jackson St,Dansville,MI,48819-2902,242,0,0,1,0,1,2,0,0,0,0,4
40242,Dave's Party Store,408 Wood St,Hart,MI,49420-2902,662,0,0,6,0,1,2,1,0,0,0,10
41837,Detroit Cookie Co. - Fern,23421 Woodward Ave.,Ferndale,MI,48220,552,0,0,0,0,0,2,0,0,0,0,2
41833,Detroit Country Middle sc,22400 Hillview Land,Beverly Hills,MI,48005-7911,553,0,3,0,0,0,0,0,0,0,0,3
41839,Detroit Country Village C,3003 Maple,Bloomfield Hills,MI,48301-7911,553,0,0,0,0,3,0,0,0,0,0,3
